Repo Name,Title,Comments,URL,Date Created,Date Closed,State,Type,Days to Close
epidemics,"Initial implementation of the diphtheria model",1,https://github.com/epiverse-trace/epidemics/pull/146,2023-11-23T17:41:36Z,2023-12-05T13:51:18Z,closed,Pull Request,11
epidemics,"Corrections and code streamlining",0,https://github.com/epiverse-trace/epidemics/pull/145,2023-11-22T16:42:22Z,2023-11-23T17:18:15Z,closed,Pull Request,1
epidemics,"Corrections to Vacamole model",0,https://github.com/epiverse-trace/epidemics/pull/144,2023-11-21T14:01:00Z,2023-11-21T15:45:45Z,closed,Pull Request,0
epidemics,"Restructure Vacamole model for rate interventions",0,https://github.com/epiverse-trace/epidemics/issues/143,2023-11-21T13:00:12Z,null,open,Issue,N/A
epidemics,"Replace infection with model in headers",0,https://github.com/epiverse-trace/epidemics/pull/142,2023-11-21T12:01:32Z,2023-11-21T13:07:39Z,closed,Pull Request,0
epidemics,"Add initial diphtheria model",0,https://github.com/epiverse-trace/epidemics/issues/141,2023-11-21T10:55:24Z,2023-12-05T13:51:19Z,closed,Issue,14
epidemics,"Remove infection class",3,https://github.com/epiverse-trace/epidemics/pull/140,2023-11-10T15:02:33Z,2023-11-21T09:08:18Z,closed,Pull Request,10
epidemics,"PDF documentation rendering fails on r-universe",1,https://github.com/epiverse-trace/epidemics/issues/139,2023-11-09T18:38:29Z,2023-11-21T09:08:19Z,closed,Issue,11
epidemics,"Fixes #107 using latest main branch",1,https://github.com/epiverse-trace/epidemics/pull/138,2023-11-06T20:54:33Z,2023-11-21T10:25:17Z,closed,Pull Request,14
epidemics,"Fixes #107",2,https://github.com/epiverse-trace/epidemics/pull/137,2023-11-06T20:10:15Z,2023-11-07T10:41:07Z,closed,Pull Request,0
epidemics,"Object print methods",0,https://github.com/epiverse-trace/epidemics/issues/136,2023-10-31T09:31:51Z,null,open,Issue,N/A
epidemics,"Fixes  #102: Rename model functions to `model_x()`",2,https://github.com/epiverse-trace/epidemics/pull/135,2023-10-26T19:33:44Z,2023-11-06T15:27:38Z,closed,Pull Request,10
epidemics,"Ebola model should be compatible with interventions",0,https://github.com/epiverse-trace/epidemics/issues/134,2023-10-25T15:27:28Z,2023-11-06T10:43:39Z,closed,Issue,11
epidemics,"Remove <infection> class",0,https://github.com/epiverse-trace/epidemics/issues/133,2023-10-24T13:14:48Z,2023-11-21T09:08:19Z,closed,Issue,27
epidemics,"Further fixes for the ebola model",4,https://github.com/epiverse-trace/epidemics/pull/132,2023-10-23T09:30:20Z,2023-11-06T10:43:38Z,closed,Pull Request,14
epidemics,"Vignette on parameter uncertainty",7,https://github.com/epiverse-trace/epidemics/pull/131,2023-10-12T09:42:25Z,2023-10-25T10:33:19Z,closed,Pull Request,13
epidemics,"Fix for # 100 - Remove model library and access",3,https://github.com/epiverse-trace/epidemics/pull/130,2023-10-09T18:36:01Z,2023-10-27T10:19:41Z,closed,Pull Request,17
epidemics,"Fixes for Clang >15",3,https://github.com/epiverse-trace/epidemics/pull/129,2023-10-09T12:40:25Z,2023-10-10T11:54:03Z,closed,Pull Request,0
epimodelac,"Rely on Carpentries' sandpaper translations",1,https://github.com/epiverse-trace/epimodelac/pull/23,2024-01-24T09:01:01Z,2024-01-24T12:00:39Z,closed,Pull Request,0
epimodelac,"remove installation lines from all episodes",0,https://github.com/epiverse-trace/epimodelac/issues/22,2023-12-19T19:50:19Z,null,open,Issue,N/A
epimodelac,"Update 56 packages",1,https://github.com/epiverse-trace/epimodelac/pull/21,2023-12-18T08:16:19Z,null,open,Pull Request,N/A
epimodelac,"update status to `alpha-stage`",0,https://github.com/epiverse-trace/epimodelac/issues/20,2023-12-16T01:28:59Z,null,open,Issue,N/A
epimodelac,"translate to ES more strings in `sandpaper`",0,https://github.com/epiverse-trace/epimodelac/issues/19,2023-12-12T10:18:38Z,null,open,Issue,N/A
epimodelac,"add glossary in PDF format to the glossary section",3,https://github.com/epiverse-trace/epimodelac/issues/18,2023-12-11T02:15:56Z,2023-12-16T01:17:48Z,closed,Issue,4
epimodelac,"agregar figuras para vaccineff en carpeta `fig/`",5,https://github.com/epiverse-trace/epimodelac/issues/17,2023-12-08T16:41:24Z,2023-12-16T01:11:09Z,closed,Issue,7
epimodelac,"HTML widgets: visNetwork and leaflet outputs are not visible",4,https://github.com/epiverse-trace/epimodelac/issues/16,2023-12-08T13:30:08Z,null,open,Issue,N/A
epimodelac,"chore: added final detail and updated disease and department of report",1,https://github.com/epiverse-trace/epimodelac/pull/15,2023-12-08T11:41:21Z,2023-12-08T11:41:56Z,closed,Pull Request,0
epimodelac,"hacer visible función oculta en episodio Enfermedad X",2,https://github.com/epiverse-trace/epimodelac/issues/14,2023-12-08T03:56:27Z,2023-12-16T01:13:49Z,closed,Issue,7
epimodelac,"Typos menores y corrección de path",3,https://github.com/epiverse-trace/epimodelac/pull/13,2023-12-05T21:59:48Z,2023-12-11T20:23:58Z,closed,Pull Request,5
epimodelac,"Update community files",1,https://github.com/epiverse-trace/epimodelac/pull/12,2023-12-02T20:42:59Z,2023-12-02T20:46:17Z,closed,Pull Request,0
epimodelac,"update renv.lock after `sandpaper::build_lesson()` in fresh clone + add `episodes/install.R` to update old versions in `renv.lock`",2,https://github.com/epiverse-trace/epimodelac/pull/11,2023-12-02T16:16:27Z,2023-12-02T17:12:55Z,closed,Pull Request,0
epimodelac,"wrong suggest to add {sandpaper} and {pegboard} when using sandpaper::update_cache()",4,https://github.com/epiverse-trace/epimodelac/issues/10,2023-11-29T12:33:32Z,2023-12-02T16:51:41Z,closed,Issue,3
epimodelac,"add readme and licence files",0,https://github.com/epiverse-trace/epimodelac/issues/9,2023-11-29T12:03:55Z,2023-12-02T20:58:30Z,closed,Issue,3
epimodelac,"failed action due to matrixStats",3,https://github.com/epiverse-trace/epimodelac/issues/8,2023-11-29T11:49:15Z,2023-12-02T17:12:56Z,closed,Issue,3
epimodelac,"failed action due to sandpaper branch",1,https://github.com/epiverse-trace/epimodelac/issues/7,2023-11-28T11:53:13Z,2023-11-28T19:46:45Z,closed,Issue,0
epimodelac,"add lang es to config yaml",5,https://github.com/epiverse-trace/epimodelac/pull/6,2023-11-28T10:53:32Z,2023-11-29T11:01:14Z,closed,Pull Request,1
epimodelac,"translate to spanish with sandpaper and potools",1,https://github.com/epiverse-trace/epimodelac/pull/5,2023-11-27T12:36:14Z,2023-11-27T14:35:53Z,closed,Pull Request,0
epimodelac,"add varnish tracelactheme to config yaml",1,https://github.com/epiverse-trace/epimodelac/pull/4,2023-11-27T12:20:55Z,2023-11-27T14:35:27Z,closed,Pull Request,0
epimodelac,"cambiar titulo del material en encabezado",1,https://github.com/epiverse-trace/epimodelac/pull/3,2023-11-27T10:07:27Z,2023-11-27T14:35:04Z,closed,Pull Request,0
epimodelac,"traducir subtitulo de instalación",1,https://github.com/epiverse-trace/epimodelac/pull/2,2023-11-27T10:03:43Z,2023-11-27T14:33:16Z,closed,Pull Request,0
epimodelac,"Actualiza tiempos TallerEbola.Rmd",1,https://github.com/epiverse-trace/epimodelac/pull/1,2023-11-24T14:46:50Z,2023-11-24T14:56:34Z,closed,Pull Request,0
epiparameter,"(Re)add lint-changed-files GHA workflow",0,https://github.com/epiverse-trace/epiparameter/pull/232,2024-01-19T16:26:09Z,2024-01-19T16:33:35Z,closed,Pull Request,0
epiparameter,"Update `epi_dist` in README example",1,https://github.com/epiverse-trace/epiparameter/issues/231,2024-01-02T14:29:20Z,2024-01-08T22:23:20Z,closed,Issue,6
epiparameter,"Discretisation method",0,https://github.com/epiverse-trace/epiparameter/issues/230,2023-12-15T10:25:18Z,null,open,Issue,N/A
epiparameter,"replace the `plot()` x axis with the `epi_distribution` name",0,https://github.com/epiverse-trace/epiparameter/issues/229,2023-12-14T02:40:43Z,null,open,Issue,N/A
epiparameter,"add the `sample_size` to the `list_distributions()` output",0,https://github.com/epiverse-trace/epiparameter/issues/227,2023-12-12T19:17:35Z,null,open,Issue,N/A
epiparameter,"Update subsetting in `epidist_db()`",1,https://github.com/epiverse-trace/epiparameter/pull/226,2023-12-12T15:43:34Z,null,open,Pull Request,N/A
epiparameter,"how to subset `multi_epidist` object from `epidist_db()` by the `prob_distribution`?",2,https://github.com/epiverse-trace/epiparameter/issues/225,2023-12-12T15:20:36Z,null,open,Issue,N/A
epiparameter,"how to know which variables are available to subset by in a `multi_epidist` object?",2,https://github.com/epiverse-trace/epiparameter/issues/224,2023-12-12T11:51:01Z,null,open,Issue,N/A
